time,uuid,mac,rssi
1578452386430,1541,7C:66:9D:7B:29:FB,-92
1578452386453,10000191,6C:EC:EB:1F:F6:65,-78
1578452386454,-12808-12653,12:AF:3F:48:31:73,-70
1578452386469,10000197,6C:EC:EB:1F:F6:76,-83
1578452386500,10000196,6C:EC:EB:1F:F4:74,-90
1578452386544,10000192,6C:EC:EB:1F:F6:24,-61
1578452386557,-12808-12653,12:AF:3F:48:31:73,-64
1578452386560,10000191,6C:EC:EB:1F:F6:65,-89
1578452386576,0000,7E:BA:77:77:B9:4F,-74
1578452386600,1538,BC:6A:29:BE:2F:23,-90
1578452386618,10000196,6C:EC:EB:1F:F4:74,-92
1578452386621,10000198,6C:EC:EB:1F:FD:83,-63
1578452386650,10000192,6C:EC:EB:1F:F6:24,-58
1578452386670,10000199,6C:EC:EB:1F:F4:46,-91
1578452386685,10000197,6C:EC:EB:1F:F6:76,-80
1578452386704,1538,BC:6A:29:BE:2F:23,-66
1578452386707,10000196,6C:EC:EB:1F:F4:74,-84
1578452386718,10000198,6C:EC:EB:1F:FD:83,-57
1578452386724,1546,7C:66:9D:7B:2B:9F,-80
1578452386753,10000192,6C:EC:EB:1F:F6:24,-57
1578452386765,10000191,6C:EC:EB:1F:F6:65,-80
1578452386782,10000199,6C:EC:EB:1F:F4:46,-87
1578452386784,-12808-12653,12:AF:3F:48:31:73,-54
1578452386812,10000196,6C:EC:EB:1F:F4:74,-82
1578452386814,1538,BC:6A:29:BE:2F:23,-67
1578452386819,10000198,6C:EC:EB:1F:FD:83,-57
1578452386856,10000190,6C:EC:EB:1F:F6:26,-76
1578452386870,10000192,6C:EC:EB:1F:F6:24,-58
1578452386874,-12808-12653,12:AF:3F:48:31:73,-56
1578452386884,10000197,6C:EC:EB:1F:F6:76,-77
1578452386923,10000198,6C:EC:EB:1F:FD:83,-65
1578452386961,10000192,6C:EC:EB:1F:F6:24,-62
1578452386975,10000191,6C:EC:EB:1F:F6:65,-78
1578452386982,-12808-12653,12:AF:3F:48:31:73,-60
1578452386989,10000197,6C:EC:EB:1F:F6:76,-78
1578452387022,1538,BC:6A:29:BE:2F:23,-68
1578452387024,10000198,6C:EC:EB:1F:FD:83,-64
1578452387059,10000190,6C:EC:EB:1F:F6:26,-74
1578452387066,10000192,6C:EC:EB:1F:F6:24,-62
1578452387068,0000,73:FA:03:CB:A7:14,-76
1578452387088,10000199,6C:EC:EB:1F:F4:46,-86
1578452387091,-12808-12653,12:AF:3F:48:31:73,-62
1578452387093,10000197,6C:EC:EB:1F:F6:76,-91
1578452387107,0000,45:09:1A:22:6A:75,-98
1578452387121,0000,7E:BA:77:77:B9:4F,-72
1578452387124,10000196,6C:EC:EB:1F:F4:74,-83
1578452387172,1541,7C:66:9D:7B:29:FB,-77
1578452387186,10000191,6C:EC:EB:1F:F6:65,-82
1578452387199,10000197,6C:EC:EB:1F:F6:76,-84
1578452387206,0000,4D:1B:52:05:20:4F,-63
1578452387230,1545,7C:66:9D:7B:2B:90,-76
1578452387238,10000198,6C:EC:EB:1F:FD:83,-66
1578452387249,1546,7C:66:9D:7B:2B:9F,-78
1578452387274,10000190,6C:EC:EB:1F:F6:26,-64
1578452387276,10000192,6C:EC:EB:1F:F6:24,-68
1578452387287,10000191,6C:EC:EB:1F:F6:65,-84
1578452387296,10000199,6C:EC:EB:1F:F4:46,-85
1578452387305,-12808-12653,12:AF:3F:48:31:73,-55
1578452387346,0000,73:FA:03:CB:A7:14,-79
1578452387386,10000192,6C:EC:EB:1F:F6:24,-66
1578452387393,0000,7E:BA:77:77:B9:4F,-64
1578452387399,0000,6C:EC:EB:1F:F4:46,-84
1578452387431,10000196,6C:EC:EB:1F:F4:74,-84
1578452387484,1541,7C:66:9D:7B:29:FB,-74
1578452387486,0000,6C:EC:EB:1F:F6:26,-69
1578452387495,10000191,6C:EC:EB:1F:F6:65,-74
1578452387511,10000197,6C:EC:EB:1F:F6:76,-84
1578452387512,-12808-12653,12:AF:3F:48:31:73,-59
1578452387586,1541,7C:66:9D:7B:29:FB,-72
1578452387590,10000190,6C:EC:EB:1F:F6:26,-83
1578452387594,10000192,6C:EC:EB:1F:F6:24,-66
1578452387614,10000197,6C:EC:EB:1F:F6:76,-83
1578452387638,10000196,6C:EC:EB:1F:F4:74,-90
1578452387655,10000198,6C:EC:EB:1F:FD:83,-80
1578452387665,0000,7E:BA:77:77:B9:4F,-64
1578452387693,10000195,6C:EC:EB:1F:F6:15,-89
1578452387707,10000191,6C:EC:EB:1F:F6:65,-82
1578452387709,10000192,6C:EC:EB:1F:F6:24,-68
1578452387717,-12808-12653,12:AF:3F:48:31:73,-68
1578452387734,0000,64:13:15:A0:68:C6,-72
1578452387743,10000196,6C:EC:EB:1F:F4:74,-86
1578452387747,0000,75:F9:70:68:54:AC,-66
1578452387760,10000198,6C:EC:EB:1F:FD:83,-74
1578452387801,10000195,6C:EC:EB:1F:F6:15,-88
1578452387813,10000191,6C:EC:EB:1F:F6:65,-78
1578452387829,-12808-12653,12:AF:3F:48:31:73,-69
1578452387870,10000198,6C:EC:EB:1F:FD:83,-72
1578452387904,0000,73:FA:03:CB:A7:14,-78
1578452387906,10000190,6C:EC:EB:1F:F6:26,-68
1578452387911,10000192,6C:EC:EB:1F:F6:24,-69
1578452387917,10000191,6C:EC:EB:1F:F6:65,-79
1578452387928,10000197,6C:EC:EB:1F:F6:76,-80
1578452387930,-12808-12653,12:AF:3F:48:31:73,-68
1578452387932,10000199,6C:EC:EB:1F:F4:46,-87
