time,uuid,mac,rssi
1578452288340,1538,BC:6A:29:BE:2F:23,-83
1578452288357,10000190,6C:EC:EB:1F:F6:26,-74
1578452288358,10000199,6C:EC:EB:1F:F4:46,-83
1578452288359,1541,7C:66:9D:7B:29:FB,-86
1578452288400,10000196,6C:EC:EB:1F:F4:74,-88
1578452288410,0000,73:FA:03:CB:A7:14,-73
1578452288419,10000191,6C:EC:EB:1F:F6:65,-62
1578452288422,1546,7C:66:9D:7B:2B:9F,-88
1578452288437,-12808-12653,12:AF:3F:48:31:73,-57
1578452288438,10000198,6C:EC:EB:1F:FD:83,-72
1578452288439,10000192,6C:EC:EB:1F:F6:24,-74
1578452288439,0000,64:13:15:A0:68:C6,-69
1578452288453,10000190,6C:EC:EB:1F:F6:26,-68
1578452288455,10000199,6C:EC:EB:1F:F4:46,-76
1578452288463,1541,7C:66:9D:7B:29:FB,-90
1578452288467,10000193,6C:EC:EB:1F:F6:55,-91
1578452288490,0000,6F:BB:7D:33:F3:2C,-67
1578452288504,10000196,6C:EC:EB:1F:F4:74,-87
1578452288513,1100,BC:6A:29:BE:31:57,-96
1578452288521,10000191,6C:EC:EB:1F:F6:65,-61
1578452288523,1546,7C:66:9D:7B:2B:9F,-82
1578452288526,0000,7E:BA:77:77:B9:4F,-52
1578452288528,-12808-12653,12:AF:3F:48:31:73,-56
1578452288537,10000198,6C:EC:EB:1F:FD:83,-70
1578452288548,10000199,6C:EC:EB:1F:F4:46,-94
1578452288572,1541,7C:66:9D:7B:29:FB,-92
1578452288598,0000,6C:60:A6:19:24:DC,-97
1578452288605,10000196,6C:EC:EB:1F:F4:74,-90
1578452288620,1545,7C:66:9D:7B:2B:90,-81
1578452288638,1546,7C:66:9D:7B:2B:9F,-76
1578452288639,-12808-12653,12:AF:3F:48:31:73,-59
1578452288640,10000198,6C:EC:EB:1F:FD:83,-70
1578452288641,10000192,6C:EC:EB:1F:F6:24,-75
1578452288643,10000197,6C:EC:EB:1F:F6:76,-78
1578452288655,10000190,6C:EC:EB:1F:F6:26,-72
1578452288682,1541,7C:66:9D:7B:29:FB,-85
1578452288683,0000,73:FA:03:CB:A7:14,-66
1578452288709,0000,64:13:15:A0:68:C6,-61
1578452288713,10000196,6C:EC:EB:1F:F4:74,-78
1578452288728,10000191,6C:EC:EB:1F:F6:65,-64
1578452288730,1545,7C:66:9D:7B:2B:90,-82
1578452288754,10000192,6C:EC:EB:1F:F6:24,-83
1578452288758,10000198,6C:EC:EB:1F:FD:83,-70
1578452288760,10000197,6C:EC:EB:1F:F6:76,-77
1578452288762,10000190,6C:EC:EB:1F:F6:26,-91
1578452288763,10000199,6C:EC:EB:1F:F4:46,-77
1578452288764,0000,6F:BB:7D:33:F3:2C,-59
1578452288766,1538,BC:6A:29:BE:2F:23,-66
1578452288781,1541,7C:66:9D:7B:29:FB,-94
1578452288801,0000,7E:BA:77:77:B9:4F,-57
1578452288821,10000196,6C:EC:EB:1F:F4:74,-81
1578452288824,0000,75:F9:70:68:54:AC,-67
1578452288840,1100,BC:6A:29:BE:31:57,-90
1578452288842,1546,7C:66:9D:7B:2B:9F,-80
1578452288844,10000191,6C:EC:EB:1F:F6:65,-61
1578452288848,-12808-12653,12:AF:3F:48:31:73,-64
1578452288852,10000197,6C:EC:EB:1F:F6:76,-72
1578452288858,10000190,6C:EC:EB:1F:F6:26,-80
1578452288861,10000199,6C:EC:EB:1F:F4:46,-77
1578452288869,1538,BC:6A:29:BE:2F:23,-63
1578452288889,1541,7C:66:9D:7B:29:FB,-90
1578452288921,10000196,6C:EC:EB:1F:F4:74,-80
1578452288929,1546,7C:66:9D:7B:2B:9F,-88
1578452288931,1100,BC:6A:29:BE:31:57,-91
