time,uuid,mac,rssi
1577169829647,10000199,6C:EC:EB:1F:F4:46,-80
1577169829669,10000198,6C:EC:EB:1F:FD:83,-73
1577169829671,10000196,6C:EC:EB:1F:F4:74,-82
1577169829686,10000190,6C:EC:EB:1F:F6:26,-88
1577169829702,10000191,6C:EC:EB:1F:F6:65,-70
1577169829704,10000197,6C:EC:EB:1F:F6:76,-64
1577169829706,10000192,6C:EC:EB:1F:F6:24,-87
1577169829724,0,5A:11:17:C3:D8:8C,-64
1577169829736,1546,7C:66:9D:7B:2B:9F,-77
1577169829754,10000199,6C:EC:EB:1F:F4:46,-78
1577169829760,10000198,6C:EC:EB:1F:FD:83,-70
1577169829766,10000196,6C:EC:EB:1F:F4:74,-78
1577169829779,10000190,6C:EC:EB:1F:F6:26,-89
1577169829792,10000191,6C:EC:EB:1F:F6:65,-73
1577169829798,10000197,6C:EC:EB:1F:F6:76,-66
1577169829834,1546,7C:66:9D:7B:2B:9F,-78
1577169829853,0,72:7E:9C:53:18:CE,-82
1577169829871,10000199,6C:EC:EB:1F:F4:46,-78
1577169829872,1545,7C:66:9D:7B:2B:90,-85
1577169829887,10000196,6C:EC:EB:1F:F4:74,-77
1577169829889,10000190,6C:EC:EB:1F:F6:26,-80
1577169829891,0,4B:2C:A9:C4:89:0D,-84
1577169829904,10000191,6C:EC:EB:1F:F6:65,-74
1577169829906,10000192,6C:EC:EB:1F:F6:24,-86
1577169829912,1538,BC:6A:29:BE:2F:23,-80
1577169829938,1546,7C:66:9D:7B:2B:9F,-78
1577169829955,10000199,6C:EC:EB:1F:F4:46,-77
1577169829965,10000198,6C:EC:EB:1F:FD:83,-78
1577169829967,1545,7C:66:9D:7B:2B:90,-84
1577169829981,10000196,6C:EC:EB:1F:F4:74,-79
1577169829986,10000190,6C:EC:EB:1F:F6:26,-75
1577169830007,10000192,6C:EC:EB:1F:F6:24,-79
1577169830016,1538,BC:6A:29:BE:2F:23,-80
1577169830048,1546,7C:66:9D:7B:2B:9F,-79
1577169830055,10000199,6C:EC:EB:1F:F4:46,-77
1577169830065,10000198,6C:EC:EB:1F:FD:83,-80
1577169830072,1545,7C:66:9D:7B:2B:90,-87
1577169830083,10000196,6C:EC:EB:1F:F4:74,-85
1577169830089,10000190,6C:EC:EB:1F:F6:26,-83
1577169830102,10000191,6C:EC:EB:1F:F6:65,-73
1577169830114,10000197,6C:EC:EB:1F:F6:76,-73
1577169830117,10000192,6C:EC:EB:1F:F6:24,-82
1577169830124,1538,BC:6A:29:BE:2F:23,-76
1577169830125,0,72:7E:9C:53:18:CE,-83
1577169830138,10000195,6C:EC:EB:1F:F6:15,-94
1577169830155,1546,7C:66:9D:7B:2B:9F,-81
1577169830164,0,4B:2C:A9:C4:89:0D,-78
1577169830175,1545,7C:66:9D:7B:2B:90,-84
1577169830193,10000196,6C:EC:EB:1F:F4:74,-82
1577169830195,10000190,6C:EC:EB:1F:F6:26,-84
1577169830205,10000191,6C:EC:EB:1F:F6:65,-72
1577169830216,10000197,6C:EC:EB:1F:F6:76,-77
1577169830222,10000192,6C:EC:EB:1F:F6:24,-82
1577169830224,1538,BC:6A:29:BE:2F:23,-75
1577169830256,1546,7C:66:9D:7B:2B:9F,-79
1577169830266,10000199,6C:EC:EB:1F:F4:46,-77
1577169830269,10000198,6C:EC:EB:1F:FD:83,-78
1577169830281,1545,7C:66:9D:7B:2B:90,-86
1577169830311,10000191,6C:EC:EB:1F:F6:65,-71
1577169830313,1541,7C:66:9D:7B:29:FB,-85
1577169830323,10000197,6C:EC:EB:1F:F6:76,-73
1577169830327,10000192,6C:EC:EB:1F:F6:24,-81
1577169830330,1538,BC:6A:29:BE:2F:23,-76
1577169830357,1546,7C:66:9D:7B:2B:9F,-81
1577169830383,10000198,6C:EC:EB:1F:FD:83,-76
1577169830397,0,72:7E:9C:53:18:CE,-82
1577169830407,10000190,6C:EC:EB:1F:F6:26,-84
1577169830409,10000196,6C:EC:EB:1F:F4:74,-82
1577169830415,1541,7C:66:9D:7B:29:FB,-86
1577169830418,10000197,6C:EC:EB:1F:F6:76,-66
1577169830427,10000192,6C:EC:EB:1F:F6:24,-83
1577169830430,1538,BC:6A:29:BE:2F:23,-77
1577169830435,0,4B:2C:A9:C4:89:0D,-74
1577169830473,10000199,6C:EC:EB:1F:F4:46,-79
1577169830480,10000198,6C:EC:EB:1F:FD:83,-73
1577169830509,10000190,6C:EC:EB:1F:F6:26,-85
1577169830520,1541,7C:66:9D:7B:29:FB,-86
1577169830522,10000191,6C:EC:EB:1F:F6:65,-71
1577169830527,10000197,6C:EC:EB:1F:F6:76,-71
1577169830531,10000192,6C:EC:EB:1F:F6:24,-80
1577169830535,1538,BC:6A:29:BE:2F:23,-83
1577169830544,0,5A:11:17:C3:D8:8C,-67
1577169830583,10000199,6C:EC:EB:1F:F4:46,-76
1577169830611,10000190,6C:EC:EB:1F:F6:26,-90
1577169830613,10000196,6C:EC:EB:1F:F4:74,-84
1577169830626,10000191,6C:EC:EB:1F:F6:65,-70
1577169830636,10000197,6C:EC:EB:1F:F6:76,-71
1577169830637,10000192,6C:EC:EB:1F:F6:24,-81
1577169830640,1538,BC:6A:29:BE:2F:23,-85
1577169830645,10000195,6C:EC:EB:1F:F6:15,-94
1577169830675,1546,7C:66:9D:7B:2B:9F,-87
1577169830695,10000198,6C:EC:EB:1F:FD:83,-73
1577169830709,0,4B:2C:A9:C4:89:0D,-77
1577169830714,10000196,6C:EC:EB:1F:F4:74,-83
1577169830732,10000191,6C:EC:EB:1F:F6:65,-69
1577169830735,10000197,6C:EC:EB:1F:F6:76,-70
1577169830741,10000192,6C:EC:EB:1F:F6:24,-80
1577169830781,1546,7C:66:9D:7B:2B:9F,-83
1577169830784,10000199,6C:EC:EB:1F:F4:46,-77
1577169830833,10000191,6C:EC:EB:1F:F6:65,-70
1577169830842,10000197,6C:EC:EB:1F:F6:76,-69
1577169830849,10000192,6C:EC:EB:1F:F6:24,-77
1577169830852,1538,BC:6A:29:BE:2F:23,-88
1577169830886,10000199,6C:EC:EB:1F:F4:46,-77
1577169830890,1546,7C:66:9D:7B:2B:9F,-82
1577169830903,10000198,6C:EC:EB:1F:FD:83,-73
1577169830952,10000197,6C:EC:EB:1F:F6:76,-70
1577169830954,10000192,6C:EC:EB:1F:F6:24,-77
1577169830956,1538,BC:6A:29:BE:2F:23,-92
1577169830980,0,4B:2C:A9:C4:89:0D,-76
1577169831008,10000198,6C:EC:EB:1F:FD:83,-73
1577169831035,10000190,6C:EC:EB:1F:F6:26,-84
1577169831048,10000191,6C:EC:EB:1F:F6:65,-69
1577169831056,10000197,6C:EC:EB:1F:F6:76,-69
1577169831058,1538,BC:6A:29:BE:2F:23,-87
1577169831095,1546,7C:66:9D:7B:2B:9F,-83
1577169831097,10000199,6C:EC:EB:1F:F4:46,-80
1577169831135,10000190,6C:EC:EB:1F:F6:26,-84
1577169831141,10000196,6C:EC:EB:1F:F4:74,-87
1577169831152,10000191,6C:EC:EB:1F:F6:65,-70
1577169831163,10000197,6C:EC:EB:1F:F6:76,-69
1577169831165,10000192,6C:EC:EB:1F:F6:24,-84
1577169831167,1538,BC:6A:29:BE:2F:23,-83
1577169831200,1546,7C:66:9D:7B:2B:9F,-81
1577169831216,0,72:7E:9C:53:18:CE,-84
1577169831228,10000198,6C:EC:EB:1F:FD:83,-71
1577169831244,10000190,6C:EC:EB:1F:F6:26,-80
1577169831254,0,4B:2C:A9:C4:89:0D,-80
1577169831259,10000191,6C:EC:EB:1F:F6:65,-70
1577169831265,10000197,6C:EC:EB:1F:F6:76,-68
1577169831304,1546,7C:66:9D:7B:2B:9F,-91
1577169831309,10000199,6C:EC:EB:1F:F4:46,-77
1577169831333,10000198,6C:EC:EB:1F:FD:83,-69
1577169831345,10000190,6C:EC:EB:1F:F6:26,-81
1577169831371,1538,BC:6A:29:BE:2F:23,-84
1577169831374,10000197,6C:EC:EB:1F:F6:76,-67
1577169831409,1546,7C:66:9D:7B:2B:9F,-76
1577169831437,10000198,6C:EC:EB:1F:FD:83,-71
1577169831454,10000190,6C:EC:EB:1F:F6:26,-83
1577169831457,10000196,6C:EC:EB:1F:F4:74,-83
1577169831468,10000191,6C:EC:EB:1F:F6:65,-70
1577169831475,10000197,6C:EC:EB:1F:F6:76,-70
1577169831515,1546,7C:66:9D:7B:2B:9F,-80
1577169831527,0,4B:2C:A9:C4:89:0D,-76
1577169831577,10000191,6C:EC:EB:1F:F6:65,-69
1577169831582,10000197,6C:EC:EB:1F:F6:76,-67
