time,uuid,mac,rssi
1577167551187,1105,7C:66:9D:7B:29:FA,-71
1577167551232,1545,7C:66:9D:7B:2B:90,-60
1577167551252,0000,48:DC:A7:24:A0:61,-46
1577167551268,1546,7C:66:9D:7B:2B:9F,-87
1577167551284,1541,7C:66:9D:7B:29:FB,-76
1577167551286,-9138135,6E:61:B2:F2:BA:35,-90
1577167551301,1105,7C:66:9D:7B:29:FA,-75
1577167551339,10000102,6C:EC:EB:1F:FD:9B,-96
1577167551352,1545,7C:66:9D:7B:2B:90,-63
1577167551356,10000198,6C:EC:EB:1F:FD:83,-82
1577167551357,10000191,6C:EC:EB:1F:F6:65,-86
1577167551368,1538,BC:6A:29:BE:2F:23,-81
1577167551405,1105,7C:66:9D:7B:29:FA,-82
1577167551443,10000195,6C:EC:EB:1F:F6:15,-80
1577167551456,10000190,6C:EC:EB:1F:F6:26,-72
1577167551474,1538,BC:6A:29:BE:2F:23,-81
1577167551483,1541,7C:66:9D:7B:29:FB,-77
1577167551512,10000197,6C:EC:EB:1F:F6:76,-85
1577167551537,0000,48:DC:A7:24:A0:61,-46
1577167551554,1545,7C:66:9D:7B:2B:90,-65
1577167551555,1100,BC:6A:29:BE:31:57,-71
1577167551570,10000198,6C:EC:EB:1F:FD:83,-84
1577167551585,1541,7C:66:9D:7B:29:FB,-71
1577167551656,1545,7C:66:9D:7B:2B:90,-60
1577167551686,1541,7C:66:9D:7B:29:FB,-71
1577167551689,10000193,6C:EC:EB:1F:F6:55,-83
1577167551744,0000,57:7F:72:97:5E:41,-66
1577167551761,10000190,6C:EC:EB:1F:F6:26,-73
1577167551792,1538,BC:6A:29:BE:2F:23,-80
1577167551799,0000,48:DC:A7:24:A0:61,-46
1577167551806,-9138135,6E:61:B2:F2:BA:35,-89
1577167551860,1545,7C:66:9D:7B:2B:90,-75
1577167551861,1100,BC:6A:29:BE:31:57,-65
1577167551881,10000198,6C:EC:EB:1F:FD:83,-87
1577167551888,1546,7C:66:9D:7B:2B:9F,-86
1577167551905,-9138135,6E:61:B2:F2:BA:35,-91
1577167551961,1100,BC:6A:29:BE:31:57,-66
1577167551995,1546,7C:66:9D:7B:2B:9F,-87
1577167552001,10000192,6C:EC:EB:1F:F6:24,-85
1577167552073,0000,48:DC:A7:24:A0:61,-47
1577167552075,1545,7C:66:9D:7B:2B:90,-62
1577167552077,10000195,6C:EC:EB:1F:F6:15,-76
1577167552094,1546,7C:66:9D:7B:2B:9F,-92
1577167552218,1541,7C:66:9D:7B:29:FB,-72
1577167552285,10000195,6C:EC:EB:1F:F6:15,-77
1577167552312,-9138135,6E:61:B2:F2:BA:35,-98
