time,uuid,mac,rssi
1577755758661,10000194,6C:EC:EB:1F:F6:2D,-86
1577755758663,1538,BC:6A:29:BE:2F:23,-75
1577755758678,1546,7C:66:9D:7B:2B:9F,-74
1577755758679,-525419647,6C:35:F8:D1:B8:B7,-91
1577755758680,1100,BC:6A:29:BE:31:57,-88
1577755758692,10000104,6C:EC:EB:1F:F8:E8,-94
1577755758709,10000111,6C:EC:EB:1F:FB:C7,-91
1577755758710,10000112,6C:EC:EB:1F:FB:96,-88
1577755758728,0000,4E:FB:CC:EB:7B:A4,-54
1577755758744,304828815,17:02:2F:6B:0E:27,-83
1577755758746,10000195,6C:EC:EB:1F:F6:15,-84
1577755758763,10000193,6C:EC:EB:1F:F6:55,-73
1577755758777,1546,7C:66:9D:7B:2B:9F,-74
1577755758779,-525419647,6C:35:F8:D1:B8:B7,-93
1577755758784,10000104,6C:EC:EB:1F:F8:E8,-94
1577755758838,304828815,17:02:2F:6B:0E:27,-83
1577755758852,10000193,6C:EC:EB:1F:F6:55,-77
1577755758861,1538,BC:6A:29:BE:2F:23,-73
1577755758872,1546,7C:66:9D:7B:2B:9F,-73
1577755758884,-525419647,6C:35:F8:D1:B8:B7,-95
1577755758912,10000111,6C:EC:EB:1F:FB:C7,-90
1577755758937,1541,7C:66:9D:7B:29:FB,-66
1577755758963,1538,BC:6A:29:BE:2F:23,-69
1577755758990,1100,BC:6A:29:BE:31:57,-80
1577755759027,1541,7C:66:9D:7B:29:FB,-66
1577755759065,10000193,6C:EC:EB:1F:F6:55,-75
1577755759070,1538,BC:6A:29:BE:2F:23,-71
1577755759079,1546,7C:66:9D:7B:2B:9F,-74
1577755759091,1100,BC:6A:29:BE:31:57,-79
1577755759095,-525419647,6C:35:F8:D1:B8:B7,-94
1577755759097,0000,68:2F:34:F9:C1:F3,-78
1577755759119,10000111,6C:EC:EB:1F:FB:C7,-90
1577755759131,1541,7C:66:9D:7B:29:FB,-66
1577755759135,10000113,6C:EC:EB:1F:F4:4F,-83
1577755759147,10000102,6C:EC:EB:1F:FD:9B,-84
1577755759148,10000197,6C:EC:EB:1F:F6:76,-91
1577755759164,304828815,17:02:2F:6B:0E:27,-84
1577755759178,1105,7C:66:9D:7B:29:FA,-94
1577755759199,1546,7C:66:9D:7B:2B:9F,-77
1577755759200,-525419647,6C:35:F8:D1:B8:B7,-88
1577755759200,1100,BC:6A:29:BE:31:57,-81
1577755759205,142113653,CC:7D:15:33:A3:B7,-95
1577755759230,0000,7C:34:CE:5E:2C:49,-93
1577755759232,10000111,6C:EC:EB:1F:FB:C7,-90
1577755759249,1541,7C:66:9D:7B:29:FB,-64
1577755759250,10000113,6C:EC:EB:1F:F4:4F,-84
1577755759251,10000102,6C:EC:EB:1F:FD:9B,-85
1577755759259,10000192,6C:EC:EB:1F:F6:24,-84
1577755759279,304828815,17:02:2F:6B:0E:27,-83
