time,uuid,mac,rssi
1576114823160,0000,72:A1:7F:5E:5B:21,-68
1576114823168,10000198,6C:EC:EB:1F:FD:83,-58
1576114823185,0000,6D:C3:CE:1B:6B:3C,-81
1576114823187,10000192,6C:EC:EB:1F:F6:24,-56
1576114823213,10000193,6C:EC:EB:1F:F6:55,-84
1576114823219,1100,BC:6A:29:BE:31:57,-87
1576114823221,1538,BC:6A:29:BE:2F:23,-80
1576114823245,10000196,6C:EC:EB:1F:F4:74,-87
1576114823253,10000190,6C:EC:EB:1F:F6:26,-80
1576114823255,1541,7C:66:9D:7B:29:FB,-80
1576114823269,0000,43:D6:42:B7:A4:F8,-77
1576114823286,10000192,6C:EC:EB:1F:F6:24,-63
1576114823302,1546,7C:66:9D:7B:2B:9F,-82
1576114823319,0000,7E:F0:26:28:F7:64,-72
1576114823322,10000197,6C:EC:EB:1F:F6:76,-83
1576114823324,1100,BC:6A:29:BE:31:57,-93
1576114823336,1538,BC:6A:29:BE:2F:23,-76
1576114823339,1545,7C:66:9D:7B:2B:90,-70
1576114823355,1541,7C:66:9D:7B:29:FB,-80
1576114823356,10000190,6C:EC:EB:1F:F6:26,-74
1576114823377,10000198,6C:EC:EB:1F:FD:83,-69
1576114823415,10000197,6C:EC:EB:1F:F6:76,-76
1576114823422,1538,BC:6A:29:BE:2F:23,-71
1576114823451,0000,6D:C3:CE:1B:6B:3C,-70
1576114823460,10000190,6C:EC:EB:1F:F6:26,-75
1576114823483,10000191,6C:EC:EB:1F:F6:65,-82
1576114823487,10000198,6C:EC:EB:1F:FD:83,-75
1576114823489,10000192,6C:EC:EB:1F:F6:24,-61
1576114823507,1546,7C:66:9D:7B:2B:9F,-77
1576114823518,10000197,6C:EC:EB:1F:F6:76,-76
1576114823524,1538,BC:6A:29:BE:2F:23,-65
1576114823535,1545,7C:66:9D:7B:2B:90,-72
1576114823540,10000195,6C:EC:EB:1F:F6:15,-94
1576114823554,0000,43:D6:42:B7:A4:F8,-76
1576114823558,10000196,6C:EC:EB:1F:F4:74,-91
1576114823562,10000199,6C:EC:EB:1F:F4:46,-82
1576114823572,10000190,6C:EC:EB:1F:F6:26,-68
1576114823582,0000,7E:F0:26:28:F7:64,-69
1576114823587,10000198,6C:EC:EB:1F:FD:83,-69
1576114823594,10000192,6C:EC:EB:1F:F6:24,-63
1576114823624,10000197,6C:EC:EB:1F:F6:76,-82
1576114823633,1538,BC:6A:29:BE:2F:23,-69
1576114823643,1545,7C:66:9D:7B:2B:90,-80
1576114823662,0000,6E:96:D4:E6:DF:B9,-70
1576114823672,1541,7C:66:9D:7B:29:FB,-74
1576114823674,10000190,6C:EC:EB:1F:F6:26,-72
1576114823699,10000192,6C:EC:EB:1F:F6:24,-65
1576114823705,0000,72:A1:7F:5E:5B:21,-63
1576114823718,1546,7C:66:9D:7B:2B:9F,-78
1576114823722,0000,6D:C3:CE:1B:6B:3C,-70
1576114823729,10000197,6C:EC:EB:1F:F6:76,-77
1576114823742,1538,BC:6A:29:BE:2F:23,-75
1576114823744,10000195,6C:EC:EB:1F:F6:15,-83
1576114823750,1545,7C:66:9D:7B:2B:90,-80
1576114823760,10000196,6C:EC:EB:1F:F4:74,-87
1576114823774,10000190,6C:EC:EB:1F:F6:26,-77
1576114823793,10000191,6C:EC:EB:1F:F6:65,-88
1576114823801,10000192,6C:EC:EB:1F:F6:24,-64
1576114823825,0000,43:D6:42:B7:A4:F8,-76
1576114823834,10000197,6C:EC:EB:1F:F6:76,-83
1576114823842,10000193,6C:EC:EB:1F:F6:55,-86
1576114823850,1538,BC:6A:29:BE:2F:23,-74
1576114823853,0000,7E:F0:26:28:F7:64,-59
1576114823874,1541,7C:66:9D:7B:29:FB,-80
1576114823877,10000190,6C:EC:EB:1F:F6:26,-67
1576114823897,10000198,6C:EC:EB:1F:FD:83,-71
1576114823899,10000191,6C:EC:EB:1F:F6:65,-69
1576114823912,10000192,6C:EC:EB:1F:F6:24,-77
1576114823935,0000,6E:96:D4:E6:DF:B9,-67
1576114823952,1538,BC:6A:29:BE:2F:23,-74
1576114823965,1545,7C:66:9D:7B:2B:90,-83
1576114823973,10000196,6C:EC:EB:1F:F4:74,-88
1576114824011,10000192,6C:EC:EB:1F:F6:24,-72
1576114824047,10000197,6C:EC:EB:1F:F6:76,-81
1576114824058,1538,BC:6A:29:BE:2F:23,-82
1576114824070,1545,7C:66:9D:7B:2B:90,-82
1576114824076,10000196,6C:EC:EB:1F:F4:74,-84
1576114824088,1541,7C:66:9D:7B:29:FB,-85
1576114824091,10000199,6C:EC:EB:1F:F4:46,-87
1576114824092,10000190,6C:EC:EB:1F:F6:26,-68
1576114824100,0000,43:D6:42:B7:A4:F8,-76
1576114824119,10000192,6C:EC:EB:1F:F6:24,-67
1576114824128,0000,7E:F0:26:28:F7:64,-58
1576114824144,1546,7C:66:9D:7B:2B:9F,-86
1576114824152,1100,BC:6A:29:BE:31:57,-93
1576114824154,10000197,6C:EC:EB:1F:F6:76,-84
1576114824159,1538,BC:6A:29:BE:2F:23,-88
1576114824174,1545,7C:66:9D:7B:2B:90,-81
1576114824193,10000190,6C:EC:EB:1F:F6:26,-69
1576114824207,0000,6E:96:D4:E6:DF:B9,-72
1576114824225,10000192,6C:EC:EB:1F:F6:24,-69
1576114824261,10000195,6C:EC:EB:1F:F6:15,-87
1576114824290,10000196,6C:EC:EB:1F:F4:74,-87
1576114824292,10000190,6C:EC:EB:1F:F6:26,-70
1576114824298,1541,7C:66:9D:7B:29:FB,-85
1576114824315,10000191,6C:EC:EB:1F:F6:65,-67
1576114824332,10000192,6C:EC:EB:1F:F6:24,-69
1576114824359,1546,7C:66:9D:7B:2B:9F,-82
1576114824377,0000,43:D6:42:B7:A4:F8,-76
1576114824390,10000196,6C:EC:EB:1F:F4:74,-87
1576114824393,10000190,6C:EC:EB:1F:F6:26,-71
1576114824397,0000,7E:F0:26:28:F7:64,-60
1576114824422,10000191,6C:EC:EB:1F:F6:65,-70
1576114824441,10000192,6C:EC:EB:1F:F6:24,-66
1576114824468,10000195,6C:EC:EB:1F:F6:15,-86
1576114824473,10000193,6C:EC:EB:1F:F6:55,-88
1576114824476,0000,6E:96:D4:E6:DF:B9,-72
1576114824494,1545,7C:66:9D:7B:2B:90,-76
1576114824498,10000196,6C:EC:EB:1F:F4:74,-92
1576114824507,1541,7C:66:9D:7B:29:FB,-85
1576114824521,0000,72:A1:7F:5E:5B:21,-62
1576114824522,10000191,6C:EC:EB:1F:F6:65,-68
1576114824526,10000198,6C:EC:EB:1F:FD:83,-71
1576114824530,0000,6D:C3:CE:1B:6B:3C,-80
1576114824566,1546,7C:66:9D:7B:2B:9F,-80
1576114824569,10000195,6C:EC:EB:1F:F6:15,-85
1576114824575,10000193,6C:EC:EB:1F:F6:55,-86
1576114824582,1538,BC:6A:29:BE:2F:23,-79
1576114824604,10000190,6C:EC:EB:1F:F6:26,-71
1576114824611,10000199,6C:EC:EB:1F:F4:46,-85
1576114824619,1541,7C:66:9D:7B:29:FB,-86
1576114824629,10000191,6C:EC:EB:1F:F6:65,-68
1576114824652,10000192,6C:EC:EB:1F:F6:24,-64
1576114824671,0000,7E:F0:26:28:F7:64,-62
1576114824675,10000195,6C:EC:EB:1F:F6:15,-87
1576114824689,1538,BC:6A:29:BE:2F:23,-83
1576114824707,10000190,6C:EC:EB:1F:F6:26,-73
1576114824711,1545,7C:66:9D:7B:2B:90,-76
1576114824715,10000199,6C:EC:EB:1F:F4:46,-84
1576114824728,1541,7C:66:9D:7B:29:FB,-82
1576114824740,10000191,6C:EC:EB:1F:F6:65,-68
1576114824751,0000,6E:96:D4:E6:DF:B9,-70
1576114824761,10000192,6C:EC:EB:1F:F6:24,-66
1576114824778,1546,7C:66:9D:7B:2B:9F,-78
1576114824781,10000195,6C:EC:EB:1F:F6:15,-89
1576114824794,0000,72:A1:7F:5E:5B:21,-62
1576114824796,1538,BC:6A:29:BE:2F:23,-83
1576114824803,0000,6D:C3:CE:1B:6B:3C,-78
1576114824811,10000190,6C:EC:EB:1F:F6:26,-68
