time,uuid,mac,rssi
1577085198520,10000192,6C:EC:EB:1F:F6:24,-76
1577085198521,0000,7D:54:C9:13:97:CA,-74
1577085198551,10000198,6C:EC:EB:1F:FD:83,-86
1577085198571,0000,60:D2:02:3C:89:00,-33
1577085198573,1541,7C:66:9D:7B:29:FB,-78
1577085198588,1538,BC:6A:29:BE:2F:23,-66
1577085198589,1546,7C:66:9D:7B:2B:9F,-70
1577085198605,10000197,6C:EC:EB:1F:F6:76,-78
1577085198606,10000196,6C:EC:EB:1F:F4:74,-80
1577085198621,10000190,6C:EC:EB:1F:F6:26,-89
1577085198623,10000192,6C:EC:EB:1F:F6:24,-77
1577085198643,0000,65:94:B1:D6:F8:43,-87
1577085198674,1538,BC:6A:29:BE:2F:23,-69
1577085198678,1541,7C:66:9D:7B:29:FB,-84
1577085198684,10000199,6C:EC:EB:1F:F4:46,-82
1577085198706,1546,7C:66:9D:7B:2B:9F,-69
1577085198708,1545,7C:66:9D:7B:2B:90,-89
1577085198709,10000196,6C:EC:EB:1F:F4:74,-79
1577085198748,0000,77:CA:05:4B:D6:4E,-77
1577085198783,1538,BC:6A:29:BE:2F:23,-67
1577085198796,1546,7C:66:9D:7B:2B:9F,-67
1577085198797,0000,7D:54:C9:13:97:CA,-74
1577085198808,10000196,6C:EC:EB:1F:F4:74,-79
1577085198837,0000,60:D2:02:3C:89:00,-46
1577085198856,10000198,6C:EC:EB:1F:FD:83,-81
1577085198859,10000191,6C:EC:EB:1F:F6:65,-84
1577085198885,0000,73:5E:7A:6D:25:99,-73
1577085198905,1538,BC:6A:29:BE:2F:23,-66
1577085198908,1546,7C:66:9D:7B:2B:9F,-66
1577085198910,10000197,6C:EC:EB:1F:F6:76,-82
1577085198913,10000196,6C:EC:EB:1F:F4:74,-80
1577085198915,1545,7C:66:9D:7B:2B:90,-89
1577085198917,10000190,6C:EC:EB:1F:F6:26,-92
1577085198921,10000192,6C:EC:EB:1F:F6:24,-75
1577085198925,0000,48:58:AD:8B:2C:B7,-85
1577085198961,10000198,6C:EC:EB:1F:FD:83,-83
1577085198968,10000191,6C:EC:EB:1F:F6:65,-84
1577085198995,1538,BC:6A:29:BE:2F:23,-66
1577085198998,1541,7C:66:9D:7B:29:FB,-82
1577085198999,10000199,6C:EC:EB:1F:F4:46,-82
1577085199005,1546,7C:66:9D:7B:2B:9F,-66
1577085199010,10000194,6C:EC:EB:1F:F6:2D,-92
1577085199025,10000196,6C:EC:EB:1F:F4:74,-78
1577085199027,10000197,6C:EC:EB:1F:F6:76,-82
1577085199028,10000192,6C:EC:EB:1F:F6:24,-76
1577085199079,10000191,6C:EC:EB:1F:F6:65,-86
1577085199099,1538,BC:6A:29:BE:2F:23,-65
1577085199101,10000199,6C:EC:EB:1F:F4:46,-83
1577085199120,10000196,6C:EC:EB:1F:F4:74,-78
1577085199135,10000192,6C:EC:EB:1F:F6:24,-75
1577085199155,0000,73:5E:7A:6D:25:99,-86
1577085199171,10000198,6C:EC:EB:1F:FD:83,-80
1577085199179,10000191,6C:EC:EB:1F:F6:65,-84
1577085199187,0000,65:94:B1:D6:F8:43,-90
1577085199194,0000,48:58:AD:8B:2C:B7,-83
1577085199203,10000199,6C:EC:EB:1F:F4:46,-83
1577085199206,1541,7C:66:9D:7B:29:FB,-80
1577085199209,1538,BC:6A:29:BE:2F:23,-66
1577085199227,10000196,6C:EC:EB:1F:F4:74,-78
1577085199229,10000197,6C:EC:EB:1F:F6:76,-85
1577085199238,10000190,6C:EC:EB:1F:F6:26,-89
1577085199242,10000192,6C:EC:EB:1F:F6:24,-76
1577085199285,10000191,6C:EC:EB:1F:F6:65,-87
1577085199294,0000,77:CA:05:4B:D6:4E,-73
1577085199305,10000199,6C:EC:EB:1F:F4:46,-84
1577085199313,1541,7C:66:9D:7B:29:FB,-79
1577085199325,1546,7C:66:9D:7B:2B:9F,-64
1577085199329,10000197,6C:EC:EB:1F:F6:76,-85
1577085199333,10000196,6C:EC:EB:1F:F4:74,-78
1577085199336,10000194,6C:EC:EB:1F:F6:2D,-92
1577085199346,0000,7D:54:C9:13:97:CA,-90
1577085199387,0000,60:D2:02:3C:89:00,-46
1577085199413,10000199,6C:EC:EB:1F:F4:46,-81
1577085199417,1538,BC:6A:29:BE:2F:23,-69
1577085199422,1541,7C:66:9D:7B:29:FB,-84
1577085199430,1546,7C:66:9D:7B:2B:9F,-65
1577085199445,10000194,6C:EC:EB:1F:F6:2D,-92
1577085199452,1545,7C:66:9D:7B:2B:90,-88
1577085199458,0000,65:94:B1:D6:F8:43,-86
1577085199465,0000,48:58:AD:8B:2C:B7,-84
1577085199490,10000198,6C:EC:EB:1F:FD:83,-86
1577085199497,10000191,6C:EC:EB:1F:F6:65,-88
1577085199518,1538,BC:6A:29:BE:2F:23,-66
1577085199533,1546,7C:66:9D:7B:2B:9F,-65
1577085199543,10000197,6C:EC:EB:1F:F6:76,-89
1577085199545,10000196,6C:EC:EB:1F:F4:74,-79
1577085199593,10000198,6C:EC:EB:1F:FD:83,-80
1577085199598,10000191,6C:EC:EB:1F:F6:65,-83
1577085199621,0000,7D:54:C9:13:97:CA,-78
1577085199657,0000,60:D2:02:3C:89:00,-50
1577085199659,10000190,6C:EC:EB:1F:F6:26,-86
1577085199661,10000192,6C:EC:EB:1F:F6:24,-77
1577085199702,10000198,6C:EC:EB:1F:FD:83,-88
1577085199703,10000191,6C:EC:EB:1F:F6:65,-83
1577085199728,1538,BC:6A:29:BE:2F:23,-65
1577085199729,0000,65:94:B1:D6:F8:43,-90
1577085199732,0000,48:58:AD:8B:2C:B7,-84
1577085199734,1546,7C:66:9D:7B:2B:9F,-68
1577085199744,1541,7C:66:9D:7B:29:FB,-82
1577085199749,10000197,6C:EC:EB:1F:F6:76,-86
1577085199751,10000196,6C:EC:EB:1F:F4:74,-79
1577085199763,10000190,6C:EC:EB:1F:F6:26,-88
1577085199768,10000192,6C:EC:EB:1F:F6:24,-76
1577085199804,10000191,6C:EC:EB:1F:F6:65,-86
1577085199807,10000198,6C:EC:EB:1F:FD:83,-80
1577085199829,1538,BC:6A:29:BE:2F:23,-64
1577085199844,1546,7C:66:9D:7B:2B:9F,-68
1577085199853,0000,77:CA:05:4B:D6:4E,-70
1577085199861,10000196,6C:EC:EB:1F:F4:74,-79
1577085199863,10000190,6C:EC:EB:1F:F6:26,-88
1577085199872,10000192,6C:EC:EB:1F:F6:24,-78
1577085199915,10000191,6C:EC:EB:1F:F6:65,-79
1577085199936,1538,BC:6A:29:BE:2F:23,-64
1577085199939,0000,60:D2:02:3C:89:00,-51
1577085199951,10000199,6C:EC:EB:1F:F4:46,-79
1577085199953,1541,7C:66:9D:7B:29:FB,-81
1577085199955,1546,7C:66:9D:7B:2B:9F,-64
1577085199961,10000197,6C:EC:EB:1F:F6:76,-79
1577085199973,10000196,6C:EC:EB:1F:F4:74,-82
1577085199984,0000,73:5E:7A:6D:25:99,-75
1577085200006,0000,48:58:AD:8B:2C:B7,-90
1577085200016,10000198,6C:EC:EB:1F:FD:83,-82
1577085200019,10000191,6C:EC:EB:1F:F6:65,-81
1577085200039,1538,BC:6A:29:BE:2F:23,-68
1577085200048,10000199,6C:EC:EB:1F:F4:46,-87
1577085200052,1541,7C:66:9D:7B:29:FB,-80
1577085200061,1546,7C:66:9D:7B:2B:9F,-64
1577085200064,10000194,6C:EC:EB:1F:F6:2D,-94
1577085200125,10000191,6C:EC:EB:1F:F6:65,-78
1577085200132,0000,77:CA:05:4B:D6:4E,-71
