time,uuid,mac,rssi
1577083191192,10000195,6C:EC:EB:1F:F6:15,-89
1577083191212,10000193,6C:EC:EB:1F:F6:55,-92
1577083191233,10000111,6C:EC:EB:1F:FB:C7,-87
1577083191249,1100,BC:6A:29:BE:31:57,-83
1577083191264,10000109,20:CD:39:7D:42:D1,-86
1577083191266,10000197,6C:EC:EB:1F:F6:76,-96
1577083191282,1105,7C:66:9D:7B:29:FA,-79
1577083191284,1541,7C:66:9D:7B:29:FB,-69
1577083191299,0,43:FE:0E:D8:E6:87,-50
1577083191317,10000193,6C:EC:EB:1F:F6:55,-87
1577083191318,10000192,6C:EC:EB:1F:F6:24,-91
1577083191333,1545,7C:66:9D:7B:2B:90,-83
1577083191335,10000111,6C:EC:EB:1F:FB:C7,-88
1577083191354,1100,BC:6A:29:BE:31:57,-76
1577083191356,10000109,20:CD:39:7D:42:D1,-89
1577083191364,10000190,6C:EC:EB:1F:F6:26,-92
1577083191402,10000105,6C:EC:EB:1F:FB:B0,-91
1577083191404,1538,BC:6A:29:BE:2F:23,-70
1577083191425,1545,7C:66:9D:7B:2B:90,-70
1577083191431,10000111,6C:EC:EB:1F:FB:C7,-83
1577083191444,1100,BC:6A:29:BE:31:57,-75
1577083191465,1546,7C:66:9D:7B:2B:9F,-88
1577083191625,10000193,6C:EC:EB:1F:F6:55,-89
1577083191637,1545,7C:66:9D:7B:2B:90,-84
1577083191653,1100,BC:6A:29:BE:31:57,-80
1577083191675,10000190,6C:EC:EB:1F:F6:26,-92
1577083191688,1541,7C:66:9D:7B:29:FB,-68
1577083191698,1105,7C:66:9D:7B:29:FA,-76
1577083191763,1100,BC:6A:29:BE:31:57,-79
1577083191776,1546,7C:66:9D:7B:2B:9F,-89
1577083191792,10000198,6C:EC:EB:1F:FD:83,-88
1577083191803,1541,7C:66:9D:7B:29:FB,-67
1577083191827,1538,BC:6A:29:BE:2F:23,-70
1577083191840,10000192,6C:EC:EB:1F:F6:24,-84
1577083191842,1545,7C:66:9D:7B:2B:90,-75
1577083191855,10000102,6C:EC:EB:1F:FD:9B,-82
1577083191857,10000111,6C:EC:EB:1F:FB:C7,-83
1577083191877,1546,7C:66:9D:7B:2B:9F,-92
1577083191932,10000195,6C:EC:EB:1F:F6:15,-86
1577083191937,1538,BC:6A:29:BE:2F:23,-67
1577083191941,10000192,6C:EC:EB:1F:F6:24,-86
1577083191957,10000111,6C:EC:EB:1F:FB:C7,-86
1577083191960,10000102,6C:EC:EB:1F:FD:9B,-76
1577083192009,1105,7C:66:9D:7B:29:FA,-87
1577083192040,1538,BC:6A:29:BE:2F:23,-68
1577083192043,10000193,6C:EC:EB:1F:F6:55,-88
1577083192056,1545,7C:66:9D:7B:2B:90,-81
1577083192060,10000111,6C:EC:EB:1F:FB:C7,-85
1577083192072,10000112,6C:EC:EB:1F:FB:96,-89
1577083192087,1100,BC:6A:29:BE:31:57,-78
1577083192094,10000190,6C:EC:EB:1F:F6:26,-84
1577083192108,10000197,6C:EC:EB:1F:F6:76,-88
1577083192111,1541,7C:66:9D:7B:29:FB,-80
1577083192113,1105,7C:66:9D:7B:29:FA,-85
1577083192144,10000195,6C:EC:EB:1F:F6:15,-84
1577083192148,1538,BC:6A:29:BE:2F:23,-68
1577083192162,1545,7C:66:9D:7B:2B:90,-82
1577083192164,10000111,6C:EC:EB:1F:FB:C7,-85
1577083192170,10000102,6C:EC:EB:1F:FD:9B,-79
1577083192179,10000112,6C:EC:EB:1F:FB:96,-94
1577083192186,1546,7C:66:9D:7B:2B:9F,-89
1577083192196,10000109,20:CD:39:7D:42:D1,-96
1577083192217,10000190,6C:EC:EB:1F:F6:26,-88
1577083192220,1105,7C:66:9D:7B:29:FA,-86
1577083192254,10000195,6C:EC:EB:1F:F6:15,-87
1577083192257,1538,BC:6A:29:BE:2F:23,-68
1577083192276,10000102,6C:EC:EB:1F:FD:9B,-80
1577083192279,10000113,6C:EC:EB:1F:F4:4F,-93
1577083192288,10000112,6C:EC:EB:1F:FB:96,-92
1577083192290,1100,BC:6A:29:BE:31:57,-79
1577083192307,10000190,6C:EC:EB:1F:F6:26,-90
1577083192354,10000195,6C:EC:EB:1F:F6:15,-85
1577083192360,1538,BC:6A:29:BE:2F:23,-68
1577083192364,10000111,6C:EC:EB:1F:FB:C7,-84
1577083192377,10000102,6C:EC:EB:1F:FD:9B,-81
1577083192389,1100,BC:6A:29:BE:31:57,-80
1577083192395,1546,7C:66:9D:7B:2B:9F,-87
1577083192409,10000109,20:CD:39:7D:42:D1,-96
1577083192414,10000190,6C:EC:EB:1F:F6:26,-86
1577083192427,1105,7C:66:9D:7B:29:FA,-86
1577083192465,10000191,6C:EC:EB:1F:F6:65,-92
1577083192476,1545,7C:66:9D:7B:2B:90,-79
1577083192477,10000102,6C:EC:EB:1F:FD:9B,-79
1577083192484,10000113,6C:EC:EB:1F:F4:4F,-94
1577083192494,1100,BC:6A:29:BE:31:57,-78
1577083192533,10000198,6C:EC:EB:1F:FD:83,-86
1577083192566,10000195,6C:EC:EB:1F:F6:15,-86
1577083192572,10000192,6C:EC:EB:1F:F6:24,-84
1577083192575,1545,7C:66:9D:7B:2B:90,-82
1577083192587,10000102,6C:EC:EB:1F:FD:9B,-80
1577083192595,1100,BC:6A:29:BE:31:57,-77
1577083192606,1546,7C:66:9D:7B:2B:9F,-87
1577083192627,10000190,6C:EC:EB:1F:F6:26,-92
1577083192638,1541,7C:66:9D:7B:29:FB,-73
1577083192678,0,43:FE:0E:D8:E6:87,-56
1577083192688,1545,7C:66:9D:7B:2B:90,-86
1577083192695,10000102,6C:EC:EB:1F:FD:9B,-78
1577083192698,1100,BC:6A:29:BE:31:57,-77
1577083192745,1541,7C:66:9D:7B:29:FB,-73
1577083192789,1538,BC:6A:29:BE:2F:23,-67
1577083192826,1546,7C:66:9D:7B:2B:9F,-90
1577083192853,1541,7C:66:9D:7B:29:FB,-68
1577083192905,10000102,6C:EC:EB:1F:FD:9B,-80
1577083192912,1100,BC:6A:29:BE:31:57,-78
1577083192929,1546,7C:66:9D:7B:2B:9F,-89
1577083192945,0,43:FE:0E:D8:E6:87,-58
1577083193002,1545,7C:66:9D:7B:2B:90,-88
1577083193035,1546,7C:66:9D:7B:2B:9F,-89
1577083193059,1105,7C:66:9D:7B:29:FA,-82
1577083193069,1541,7C:66:9D:7B:29:FB,-72
1577083193104,1538,BC:6A:29:BE:2F:23,-69
1577083193105,1545,7C:66:9D:7B:2B:90,-76
1577083193106,10000102,6C:EC:EB:1F:FD:9B,-84
1577083193107,10000111,6C:EC:EB:1F:FB:C7,-85
1577083193114,10000192,6C:EC:EB:1F:F6:24,-85
1577083193115,10000113,6C:EC:EB:1F:F4:4F,-92
1577083193118,1100,BC:6A:29:BE:31:57,-80
1577083193134,1546,7C:66:9D:7B:2B:9F,-89
1577083193149,1105,7C:66:9D:7B:29:FA,-84
1577083193164,1541,7C:66:9D:7B:29:FB,-72
1577083193167,10000198,6C:EC:EB:1F:FD:83,-87
1577083193177,10000197,6C:EC:EB:1F:F6:76,-90
1577083193197,1538,BC:6A:29:BE:2F:23,-68
1577083193207,1545,7C:66:9D:7B:2B:90,-82
1577083193215,10000111,6C:EC:EB:1F:FB:C7,-85
1577083193221,10000113,6C:EC:EB:1F:F4:4F,-94
1577083193256,1105,7C:66:9D:7B:29:FA,-87
1577083193267,10000198,6C:EC:EB:1F:FD:83,-87
1577083193269,1541,7C:66:9D:7B:29:FB,-75
1577083193301,1538,BC:6A:29:BE:2F:23,-68
1577083193308,1545,7C:66:9D:7B:2B:90,-85
1577083193318,200,BC:6A:29:BE:2F:76,-93
1577083193328,1100,BC:6A:29:BE:31:57,-82
1577083193330,10000192,6C:EC:EB:1F:F6:24,-86
1577083193404,10000195,6C:EC:EB:1F:F6:15,-85
1577083193411,1538,BC:6A:29:BE:2F:23,-68
1577083193418,10000111,6C:EC:EB:1F:FB:C7,-86
1577083193419,10000102,6C:EC:EB:1F:FD:9B,-86
1577083193423,10000193,6C:EC:EB:1F:F6:55,-88
1577083193430,1100,BC:6A:29:BE:31:57,-82
1577083193437,10000192,6C:EC:EB:1F:F6:24,-85
1577083193445,1546,7C:66:9D:7B:2B:9F,-90
1577083193449,10000190,6C:EC:EB:1F:F6:26,-88
1577083193461,1105,7C:66:9D:7B:29:FA,-86
1577083193480,1541,7C:66:9D:7B:29:FB,-74
1577083193490,0,43:FE:0E:D8:E6:87,-62
1577083193492,10000197,6C:EC:EB:1F:F6:76,-90
1577083193506,10000195,6C:EC:EB:1F:F6:15,-86
1577083193519,10000111,6C:EC:EB:1F:FB:C7,-84
1577083193521,1545,7C:66:9D:7B:2B:90,-86
1577083193523,10000102,6C:EC:EB:1F:FD:9B,-83
1577083193535,1100,BC:6A:29:BE:31:57,-81
1577083193537,10000192,6C:EC:EB:1F:F6:24,-85
1577083193540,10000113,6C:EC:EB:1F:F4:4F,-91
1577083193550,10000112,6C:EC:EB:1F:FB:96,-93
1577083193552,1546,7C:66:9D:7B:2B:9F,-89
1577083193613,10000195,6C:EC:EB:1F:F6:15,-87
1577083193619,10000111,6C:EC:EB:1F:FB:C7,-85
1577083193621,1538,BC:6A:29:BE:2F:23,-68
1577083193635,10000105,6C:EC:EB:1F:FB:B0,-95
1577083193641,10000192,6C:EC:EB:1F:F6:24,-84
1577083193655,1546,7C:66:9D:7B:2B:9F,-88
1577083193684,1541,7C:66:9D:7B:29:FB,-73
1577083193714,10000195,6C:EC:EB:1F:F6:15,-87
1577083193720,10000191,6C:EC:EB:1F:F6:65,-92
1577083193723,10000111,6C:EC:EB:1F:FB:C7,-85
1577083193727,1538,BC:6A:29:BE:2F:23,-68
1577083193733,10000102,6C:EC:EB:1F:FD:9B,-83
1577083193737,10000105,6C:EC:EB:1F:FB:B0,-92
1577083193747,1100,BC:6A:29:BE:31:57,-81
1577083193770,0,43:FE:0E:D8:E6:87,-70
1577083193773,1105,7C:66:9D:7B:29:FA,-84
1577083193786,1541,7C:66:9D:7B:29:FB,-72
1577083193798,10000198,6C:EC:EB:1F:FD:83,-87
1577083193801,10000197,6C:EC:EB:1F:F6:76,-91
1577083193820,10000195,6C:EC:EB:1F:F6:15,-87
1577083193821,10000191,6C:EC:EB:1F:F6:65,-92
1577083193829,10000111,6C:EC:EB:1F:FB:C7,-85
1577083193831,1538,BC:6A:29:BE:2F:23,-68
1577083193835,10000102,6C:EC:EB:1F:FD:9B,-82
1577083193842,1545,7C:66:9D:7B:2B:90,-83
1577083193848,1100,BC:6A:29:BE:31:57,-77
1577083193868,10000109,20:CD:39:7D:42:D1,-95
