time,uuid,mac,rssi
1576633624098,10000196,6C:EC:EB:1F:F4:74,-66
1576633624108,43610389,29:03:3F:29:33:57,-97
1576633624134,10000198,6C:EC:EB:1F:FD:83,-83
1576633624175,1538,BC:6A:29:BE:2F:23,-76
1576633624213,10000197,6C:EC:EB:1F:F6:76,-69
1576633624222,43610389,29:03:3F:29:33:57,-100
1576633624255,1169232039,1C:DC:63:3B:9F:85,-72
1576633624280,1538,BC:6A:29:BE:2F:23,-78
1576633624297,1541,7C:66:9D:7B:29:FB,-92
1576633624314,10000197,6C:EC:EB:1F:F6:76,-84
1576633624318,0000,73:63:D8:B1:A2:64,-101
1576633624330,10000192,6C:EC:EB:1F:F6:24,-89
1576633624359,1169232039,1C:DC:63:3B:9F:85,-89
1576633624365,1546,7C:66:9D:7B:2B:9F,-80
1576633624380,1538,BC:6A:29:BE:2F:23,-82
1576633624417,10000196,6C:EC:EB:1F:F4:74,-72
1576633624419,10000197,6C:EC:EB:1F:F6:76,-86
1576633624497,0000,46:F1:AF:9F:74:9E,-74
1576633624508,1541,7C:66:9D:7B:29:FB,-94
1576633624524,10000196,6C:EC:EB:1F:F4:74,-72
1576633624548,10000198,6C:EC:EB:1F:FD:83,-82
1576633624554,10000191,6C:EC:EB:1F:F6:65,-83
1576633624570,1546,7C:66:9D:7B:2B:9F,-80
1576633624574,1169232039,1C:DC:63:3B:9F:85,-78
1576633624624,10000199,6C:EC:EB:1F:F4:46,-75
1576633624639,10000192,6C:EC:EB:1F:F6:24,-89
1576633624662,10000191,6C:EC:EB:1F:F6:65,-78
1576633624719,1541,7C:66:9D:7B:29:FB,-94
1576633624723,10000199,6C:EC:EB:1F:F4:46,-85
1576633624735,43610389,29:03:3F:29:33:57,-91
1576633624772,10000191,6C:EC:EB:1F:F6:65,-84
1576633624789,1538,BC:6A:29:BE:2F:23,-73
1576633624832,10000199,6C:EC:EB:1F:F4:46,-76
1576633624870,10000198,6C:EC:EB:1F:FD:83,-93
1576633624883,0000,7C:09:44:B0:53:CB,-80
1576633624894,10000190,6C:EC:EB:1F:F6:26,-85
1576633624929,0000,46:F1:AF:9F:74:9E,-72
1576633624935,0000,08:6D:41:CB:30:6F,-72
1576633624948,10000197,6C:EC:EB:1F:F6:76,-76
1576633624954,10000196,6C:EC:EB:1F:F4:74,-65
1576633625003,1538,BC:6A:29:BE:2F:23,-86
1576633625025,1541,7C:66:9D:7B:29:FB,-88
1576633625043,10000199,6C:EC:EB:1F:F4:46,-69
1576633625050,10000197,6C:EC:EB:1F:F6:76,-84
