reference_tag,coordinate_x,coordinate_y,cluster_tag,direction_tag,onehotmac_rssi_sentence
1,10.446,10.737,0,0,"[1901, 1283, 1615, 825, 1185, 734, 1100, 1620, 829, 1005, 737, 1099, 1722, 1617, 825, 727, 1716, 1108, 1901, 1284, 930, 1622, 826, 1011, 742, 1705, 1106, 1281, 920, 1621, 817, 1009, 1190]"
1,10.446,10.737,0,0,"[1711, 1103, 1273, 1615, 834, 732, 1714, 1272, 923, 1625, 828, 727, 1714, 930, 1615, 824, 1189, 1016, 737, 1108, 1278, 923, 833, 1009, 736, 1277, 1619]"
1,10.446,10.737,0,0,"[736, 923, 1011, 735, 1717, 1271, 1614, 836, 1009, 735, 1713, 1269, 1614, 925, 1194, 1006, 736, 1104, 1714, 1008, 735, 1615, 841]"
1,10.446,10.737,0,0,"[735, 1269, 1617, 1007, 1193, 830, 1619, 735, 1616, 1012, 735, 1102, 1269, 1615, 928, 836, 735, 1270, 1616, 830, 1008]"
1,10.446,10.737,0,0,"[734, 1107, 1717, 1269, 1616, 933, 734, 1269, 1616, 829, 736, 1712, 1271, 1615, 1011, 736, 1194, 1711, 1272, 821, 1614, 1010, 1713, 1615, 1009]"
1,10.446,10.737,0,0,"[736, 1714, 1273, 1008, 736, 1270, 1615, 835, 735, 1711, 1269, 1616, 835, 1008, 736, 1104, 1270, 925, 833, 1006, 735, 1106, 1614, 832, 1010]"
1,10.446,10.737,0,0,"[1714, 735, 1274, 1613, 927, 827, 1011, 735, 1274, 1614, 840, 1009, 1192, 1715, 1275, 1614, 827, 1007, 1104, 1273, 1614, 834, 1009, 1713, 1106, 927, 835]"
1,10.446,10.737,0,0,"[1009, 1715, 1274, 833, 1009, 1187, 735, 1715, 1273, 927, 1009, 735, 1715, 1616, 927, 1713, 1105, 1275, 1615, 928, 1007, 736, 1188, 1716, 1617]"
1,10.446,10.737,0,0,"[821, 1010, 752, 1102, 1275, 1617, 1724, 1102, 1615, 822, 1011, 1720, 1277, 1617, 1192, 821, 753, 1717, 1617, 1278, 824, 1717, 1105, 1615, 1273]"
1,10.446,10.737,0,0,"[824, 752, 1721, 1104, 1616, 1272, 1195, 754, 1105, 1273, 823, 1106, 1273, 754, 824, 1617, 1273, 751, 822, 1724]"
