count,mac,scan_index,uuid
73399,BC:6A:29:BE:2F:23,,-1
67160,7C:66:9D:7B:2B:9F,,-1
66383,6C:30:40:5F:BC:CE,,-1
63514,6C:EC:EB:1F:F6:65,,-1
63061,7C:66:9D:7B:29:FB,,-1
60315,6C:EC:EB:1F:FD:83,,-1
57829,6C:EC:EB:1F:F4:46,,-1
55829,6C:EC:EB:1F:F6:76,,-1
53455,6C:EC:EB:1F:F6:24,,-1
52815,6C:EC:EB:1F:F4:74,,-1
49298,6C:EC:EB:1F:F6:26,,-1
45995,7C:66:9D:7B:2B:90,,-1
45162,7C:66:9D:7B:29:FA,,-1
40386,BC:6A:29:BE:31:57,,-1
26667,BC:6A:29:BE:2F:76,,-1
24497,BC:14:EF:7B:03:3C,,-1
23232,7C:66:9D:7B:2D:4A,,-1
22692,6C:EC:EB:1F:F6:55,,-1
14088,6C:EC:EB:1F:FD:9B,,-1
12125,6C:EC:EB:1F:F6:15,,-1
8560,66:99:FD:58:45:3A,,-1
7549,6C:EC:EB:1F:F6:2D,,-1
6156,4D:AA:5B:09:AA:17,,-1
5614,60:A9:D5:8B:AC:7E,,-1
4551,5F:5D:AA:B4:9B:F7,,-1
4127,42:26:CC:E5:07:E9,,-1
3270,65:0D:07:C8:43:68,,-1
3222,6C:EC:EB:1F:F4:4F,,-1
2974,6C:EC:EB:1F:FB:C7,,-1
2863,64:7C:16:9C:55:7A,,-1
2735,7B:18:A9:6E:ED:15,,-1
2475,6C:EC:EB:1F:FB:96,,-1
2442,7B:44:91:3B:03:47,,-1
2330,62:BB:8C:56:E1:BE,,-1
2251,20:CD:39:7D:42:D1,,-1
2174,7C:6F:48:BF:43:7E,,-1
2166,78:83:FE:26:4B:43,,-1
2165,4A:1B:D7:AE:37:7A,,-1
2108,79:EB:EE:4B:BF:93,,-1
2052,67:91:54:87:98:BE,,-1
1906,6D:A2:36:44:8B:34,,-1
1719,5C:F6:5D:37:86:BC,,-1
1651,68:4C:60:F6:00:5B,,-1
1510,5D:01:C3:CD:B7:7A,,-1
1469,50:D5:B5:F4:31:17,,-1
1402,5B:12:0F:08:8B:23,,-1
1394,45:44:05:A6:91:9E,,-1
1376,4F:C9:21:10:01:5F,,-1
1284,68:B4:7D:71:B7:20,,-1
1250,7F:9C:5D:6F:56:1C,,-1
1223,47:18:63:5F:20:21,,-1
1181,68:24:3F:89:04:56,,-1
1179,2D:43:B6:40:28:97,,-1
1060,7B:1F:8A:58:8C:84,,-1
952,6A:C5:3B:30:CC:65,,-1
920,70:67:7D:D8:22:8C,,-1
827,4D:D2:FF:FC:DC:7E,,-1
787,7C:BF:72:69:CD:17,,-1
774,4C:8B:DB:32:4E:16,,-1
744,62:6F:3A:69:2E:B5,,-1
721,49:73:2B:AB:6D:37,,-1
689,44:BA:D5:F9:61:68,,-1
650,69:C9:11:58:0F:76,,-1
593,13:7F:E0:D8:84:33,,-1
559,7A:D2:DF:3C:B4:47,,-1
557,55:61:AF:4E:B2:41,,-1
552,6E:2A:07:B2:C9:B4,,-1
499,5D:06:DA:0E:57:85,,-1
490,6C:EC:EB:1F:F8:E8,,-1
487,4F:06:B7:A2:CE:99,,-1
467,30:5B:18:EE:B5:77,,-1
460,7F:2A:1D:7C:E1:71,,-1
458,63:2A:9A:DA:2F:C3,,-1
435,55:87:B7:AF:67:9F,,-1
411,69:17:BF:6B:39:A3,,-1
391,57:0E:3D:24:EC:A4,,-1
371,49:82:ED:57:89:C8,,-1
325,6C:EC:EB:1F:FB:B0,,-1
324,6F:F9:E3:80:DB:E1,,-1
305,42:D5:14:9D:03:E0,,-1
279,71:CA:C8:0C:0D:7E,,-1
260,F0:B9:A8:F0:F2:07,,-1
229,5F:75:42:7E:75:3C,,-1
225,4F:C9:DB:8D:EB:B1,,-1
221,5B:43:D9:2D:E6:09,,-1
201,42:F0:28:F9:F8:BA,,-1
157,49:70:06:48:0D:51,,-1
153,52:36:DB:64:3E:B9,,-1
152,51:D2:36:7B:EE:B7,,-1
145,51:82:53:5D:17:E6,,-1
141,40:8F:C2:30:89:D9,,-1
107,0C:2B:F7:B2:29:57,,-1
104,64:2E:7B:A7:37:D9,,-1
95,79:E5:5C:F3:3B:A2,,-1
87,47:C6:35:23:FC:7F,,-1
79,58:00:43:1D:C3:AE,,-1
75,47:96:A1:53:E3:21,,-1
73,48:A7:24:FF:4F:80,,-1
72,4B:39:B2:BF:3C:1C,,-1
71,72:E0:F2:FE:9C:22,,-1
67,77:1F:3C:AB:76:25,,-1
66,33:F5:CD:55:F3:17,,-1
66,56:C9:67:9D:1B:F1,,-1
62,74:DA:04:4D:04:2D,,-1
54,2C:C9:15:DA:31:FA,,-1
54,78:62:C5:6E:D4:A3,,-1
51,4E:02:AB:2B:6F:E8,,-1
