time,uuid,mac,rssi
1571987445426,10000191,6C:EC:EB:1F:F6:65,-70
1571987445428,10000197,6C:EC:EB:1F:F6:76,-56
1571987445441,10000198,6C:EC:EB:1F:FD:83,-60
1571987445441,10000196,6C:EC:EB:1F:F4:74,-81
1571987445458,0101,BC:14:EF:7B:03:3C,-70
1571987445459,1538,BC:6A:29:BE:2F:23,-67
1571987445474,10000192,6C:EC:EB:1F:F6:24,-75
1571987445475,1545,7C:66:9D:7B:2B:90,-81
1571987445492,1541,7C:66:9D:7B:29:FB,-85
1571987445495,10000190,6C:EC:EB:1F:F6:26,-74
1571987445530,10000197,6C:EC:EB:1F:F6:76,-56
1571987445539,10000198,6C:EC:EB:1F:FD:83,-61
1571987445553,1538,BC:6A:29:BE:2F:23,-69
1571987445569,10000192,6C:EC:EB:1F:F6:24,-79
1571987445584,1546,7C:66:9D:7B:2B:9F,-77
1571987445586,1541,7C:66:9D:7B:29:FB,-89
1571987445632,10000197,6C:EC:EB:1F:F6:76,-51
1571987445641,10000198,6C:EC:EB:1F:FD:83,-61
1571987445646,10000196,6C:EC:EB:1F:F4:74,-89
1571987445660,1538,BC:6A:29:BE:2F:23,-84
1571987445675,10000192,6C:EC:EB:1F:F6:24,-80
1571987445680,10000199,6C:EC:EB:1F:F4:46,-91
1571987445693,1541,7C:66:9D:7B:29:FB,-83
1571987445694,10000190,6C:EC:EB:1F:F6:26,-76
1571987445734,10000191,6C:EC:EB:1F:F6:65,-69
1571987445738,10000197,6C:EC:EB:1F:F6:76,-53
1571987445761,1538,BC:6A:29:BE:2F:23,-73
1571987445840,10000197,6C:EC:EB:1F:F6:76,-51
1571987445843,10000191,6C:EC:EB:1F:F6:65,-75
1571987445851,10000198,6C:EC:EB:1F:FD:83,-67
1571987445854,10000196,6C:EC:EB:1F:F4:74,-76
1571987445866,1538,BC:6A:29:BE:2F:23,-71
1571987445881,10000192,6C:EC:EB:1F:F6:24,-72
1571987445884,10000199,6C:EC:EB:1F:F4:46,-74
1571987445899,1546,7C:66:9D:7B:2B:9F,-75
1571987445968,1538,BC:6A:29:BE:2F:23,-77
1571987445982,10000192,6C:EC:EB:1F:F6:24,-70
1571987445986,10000199,6C:EC:EB:1F:F4:46,-70
1571987446009,1541,7C:66:9D:7B:29:FB,-87
1571987446051,10000197,6C:EC:EB:1F:F6:76,-80
1571987446063,10000196,6C:EC:EB:1F:F4:74,-82
1571987446066,10000198,6C:EC:EB:1F:FD:83,-66
1571987446070,1538,BC:6A:29:BE:2F:23,-79
1571987446082,10000192,6C:EC:EB:1F:F6:24,-71
1571987446108,1546,7C:66:9D:7B:2B:9F,-75
1571987446172,10000198,6C:EC:EB:1F:FD:83,-71
1571987446175,1538,BC:6A:29:BE:2F:23,-79
1571987446185,10000192,6C:EC:EB:1F:F6:24,-71
1571987446200,10000199,6C:EC:EB:1F:F4:46,-89
1571987446212,1546,7C:66:9D:7B:2B:9F,-82
1571987446217,10000190,6C:EC:EB:1F:F6:26,-86
1571987446263,10000191,6C:EC:EB:1F:F6:65,-80
1571987446267,10000197,6C:EC:EB:1F:F6:76,-69
1571987446273,10000198,6C:EC:EB:1F:FD:83,-80
1571987446277,10000196,6C:EC:EB:1F:F4:74,-82
1571987446285,1538,BC:6A:29:BE:2F:23,-89
1571987446295,10000192,6C:EC:EB:1F:F6:24,-80
1571987446301,10000199,6C:EC:EB:1F:F4:46,-79
1571987446319,1546,7C:66:9D:7B:2B:9F,-84
1571987446325,1541,7C:66:9D:7B:29:FB,-93
1571987446358,0101,BC:14:EF:7B:03:3C,-76
1571987446365,10000191,6C:EC:EB:1F:F6:65,-79
1571987446375,10000197,6C:EC:EB:1F:F6:76,-73
1571987446377,10000198,6C:EC:EB:1F:FD:83,-71
1571987446385,10000196,6C:EC:EB:1F:F4:74,-76
1571987446403,10000192,6C:EC:EB:1F:F6:24,-79
1571987446408,10000199,6C:EC:EB:1F:F4:46,-79
1571987446418,1546,7C:66:9D:7B:2B:9F,-77
1571987446430,10000190,6C:EC:EB:1F:F6:26,-88
1571987446468,10000191,6C:EC:EB:1F:F6:65,-76
1571987446476,10000198,6C:EC:EB:1F:FD:83,-78
1571987446481,10000197,6C:EC:EB:1F:F6:76,-68
1571987446490,10000196,6C:EC:EB:1F:F4:74,-73
1571987446493,1538,BC:6A:29:BE:2F:23,-89
1571987446512,10000199,6C:EC:EB:1F:F4:46,-73
1571987446513,10000192,6C:EC:EB:1F:F6:24,-82
1571987446524,1546,7C:66:9D:7B:2B:9F,-75
1571987446542,1541,7C:66:9D:7B:29:FB,-90
1571987446569,10000191,6C:EC:EB:1F:F6:65,-81
1571987446578,10000198,6C:EC:EB:1F:FD:83,-76
1571987446588,10000197,6C:EC:EB:1F:F6:76,-67
1571987446595,10000196,6C:EC:EB:1F:F4:74,-72
1571987446603,1538,BC:6A:29:BE:2F:23,-82
1571987446610,10000199,6C:EC:EB:1F:F4:46,-74
1571987446617,10000192,6C:EC:EB:1F:F6:24,-86
1571987446627,1546,7C:66:9D:7B:2B:9F,-78
1571987446643,10000190,6C:EC:EB:1F:F6:26,-95
1571987446650,1541,7C:66:9D:7B:29:FB,-93
1571987446661,0101,BC:14:EF:7B:03:3C,-76
1571987446681,10000198,6C:EC:EB:1F:FD:83,-79
1571987446690,10000197,6C:EC:EB:1F:F6:76,-71
1571987446704,1538,BC:6A:29:BE:2F:23,-79
1571987446713,10000199,6C:EC:EB:1F:F4:46,-74
1571987446722,10000192,6C:EC:EB:1F:F6:24,-79
1571987446733,1546,7C:66:9D:7B:2B:9F,-79
1571987446760,1541,7C:66:9D:7B:29:FB,-89
1571987446778,10000191,6C:EC:EB:1F:F6:65,-80
1571987446788,10000198,6C:EC:EB:1F:FD:83,-78
1571987446796,10000197,6C:EC:EB:1F:F6:76,-66
1571987446800,10000196,6C:EC:EB:1F:F4:74,-75
1571987446803,1538,BC:6A:29:BE:2F:23,-82
1571987446816,10000199,6C:EC:EB:1F:F4:46,-74
1571987446833,10000192,6C:EC:EB:1F:F6:24,-78
1571987446839,1546,7C:66:9D:7B:2B:9F,-77
1571987446861,10000190,6C:EC:EB:1F:F6:26,-86
1571987446867,1541,7C:66:9D:7B:29:FB,-92
1571987446884,10000191,6C:EC:EB:1F:F6:65,-76
1571987446896,10000198,6C:EC:EB:1F:FD:83,-81
1571987446907,10000197,6C:EC:EB:1F:F6:76,-69
1571987446911,10000196,6C:EC:EB:1F:F4:74,-76
1571987446917,1538,BC:6A:29:BE:2F:23,-84
1571987446920,10000199,6C:EC:EB:1F:F4:46,-76
1571987446935,10000192,6C:EC:EB:1F:F6:24,-78
1571987446944,1546,7C:66:9D:7B:2B:9F,-76
1571987446973,0101,BC:14:EF:7B:03:3C,-71
1571987446987,10000191,6C:EC:EB:1F:F6:65,-78
1571987447019,10000198,6C:EC:EB:1F:FD:83,-80
1571987447023,10000197,6C:EC:EB:1F:F6:76,-68
1571987447025,10000196,6C:EC:EB:1F:F4:74,-74
1571987447029,10000199,6C:EC:EB:1F:F4:46,-75
1571987447053,1546,7C:66:9D:7B:2B:9F,-75
1571987447090,10000191,6C:EC:EB:1F:F6:65,-78
1571987447108,10000198,6C:EC:EB:1F:FD:83,-74
1571987447120,10000197,6C:EC:EB:1F:F6:76,-68
1571987447123,1538,BC:6A:29:BE:2F:23,-82
1571987447127,10000199,6C:EC:EB:1F:F4:46,-74
1571987447129,10000196,6C:EC:EB:1F:F4:74,-75
1571987447154,10000192,6C:EC:EB:1F:F6:24,-78
1571987447158,1546,7C:66:9D:7B:2B:9F,-77
1571987447190,10000191,6C:EC:EB:1F:F6:65,-77
1571987447211,10000198,6C:EC:EB:1F:FD:83,-78
1571987447224,10000197,6C:EC:EB:1F:F6:76,-72
1571987447229,10000199,6C:EC:EB:1F:F4:46,-75
1571987447232,1538,BC:6A:29:BE:2F:23,-81
1571987447235,10000196,6C:EC:EB:1F:F4:74,-75
1571987447260,10000192,6C:EC:EB:1F:F6:24,-76
1571987447267,1546,7C:66:9D:7B:2B:9F,-78
1571987447274,0101,BC:14:EF:7B:03:3C,-70
1571987447293,10000191,6C:EC:EB:1F:F6:65,-78
1571987447315,10000198,6C:EC:EB:1F:FD:83,-80
1571987447326,10000197,6C:EC:EB:1F:F6:76,-70
1571987447329,10000199,6C:EC:EB:1F:F4:46,-75
1571987447335,10000196,6C:EC:EB:1F:F4:74,-76
1571987447362,10000192,6C:EC:EB:1F:F6:24,-75
1571987447376,1546,7C:66:9D:7B:2B:9F,-76
1571987447402,10000191,6C:EC:EB:1F:F6:65,-78
1571987447423,10000198,6C:EC:EB:1F:FD:83,-77
1571987447433,10000197,6C:EC:EB:1F:F6:76,-68
1571987447445,1538,BC:6A:29:BE:2F:23,-80
1571987447469,10000192,6C:EC:EB:1F:F6:24,-75
1571987447477,1546,7C:66:9D:7B:2B:9F,-76
1571987447527,10000198,6C:EC:EB:1F:FD:83,-77
1571987447545,10000197,6C:EC:EB:1F:F6:76,-68
1571987447549,1538,BC:6A:29:BE:2F:23,-81
1571987447581,0101,BC:14:EF:7B:03:3C,-70
1571987447608,1541,7C:66:9D:7B:29:FB,-90
1571987447619,10000191,6C:EC:EB:1F:F6:65,-82
1571987447631,10000198,6C:EC:EB:1F:FD:83,-76
1571987447641,10000197,6C:EC:EB:1F:F6:76,-68
1571987447678,1546,7C:66:9D:7B:2B:9F,-76
1571987447683,10000192,6C:EC:EB:1F:F6:24,-76
1571987447724,10000191,6C:EC:EB:1F:F6:65,-79
1571987447752,1538,BC:6A:29:BE:2F:23,-84
1571987447758,10000196,6C:EC:EB:1F:F4:74,-74
1571987447777,1546,7C:66:9D:7B:2B:9F,-72
1571987447784,10000192,6C:EC:EB:1F:F6:24,-78
1571987447812,10000190,6C:EC:EB:1F:F6:26,-94
1571987447814,1541,7C:66:9D:7B:29:FB,-91
